product_category_name,total_orders,delayed_orders,delay_percentage
casa_conforto_2,30,5,16.67
moveis_colchao_e_estofado,37,5,13.51
audio,362,46,12.71
fashion_underwear_e_moda_praia,127,16,12.60
artigos_de_natal,150,18,12.00
livros_tecnicos,263,29,11.03
casa_conforto,429,44,10.26
construcao_ferramentas_iluminacao,301,30,9.97
alimentos,499,49,9.82
eletronicos,2729,266,9.75
NULL,1537,144,9.37
beleza_saude,9467,858,9.06
moveis_escritorio,1668,149,8.93
bebes,2982,262,8.79
instrumentos_musicais,651,56,8.60
moveis_decoracao,8160,688,8.43
cama_mesa_banho,10953,920,8.40
telefonia,4430,369,8.33
artes_e_artesanato,24,2,8.33
automotivo,4139,343,8.29
relogios_presentes,5857,485,8.28
casa_construcao,596,49,8.22
construcao_ferramentas_construcao,916,74,8.08
papelaria,2466,198,8.03
ferramentas_jardim,4268,340,7.97
musica,38,3,7.89
moveis_sala,495,39,7.88
consoles_games,1089,85,7.81
informatica_acessorios,7643,594,7.77
moveis_quarto,103,8,7.77
artes,197,15,7.61
industria_comercio_e_negocios,264,20,7.58
brinquedos,4030,299,7.42
esporte_lazer,8431,625,7.41
perfumaria,3342,245,7.33
construcao_ferramentas_jardim,232,17,7.33
tablets_impressao_imagem,83,6,7.23
portateis_cozinha_e_preparadores_de_alimentos,14,1,7.14
cine_foto,70,5,7.14
eletrodomesticos_2,231,16,6.93
fashion_esporte,29,2,6.90
portateis_casa_forno_e_cafe,73,5,6.85
eletrodomesticos,754,51,6.76
cool_stuff,3718,251,6.75
fashion_roupa_feminina,45,3,6.67
dvds_blu_ray,61,4,6.56
pcs,199,13,6.53
livros_interesse_geral,536,35,6.53
utilidades_domesticas,6795,441,6.49
alimentos_bebidas,269,17,6.32
fashion_bolsas_e_acessorios,1986,124,6.24
pet_shop,1924,118,6.13
eletroportateis,658,39,5.93
fashion_calcados,257,15,5.84
construcao_ferramentas_ferramentas,103,6,5.83
fashion_roupa_masculina,125,7,5.60
sinalizacao_e_seguranca,197,11,5.58
bebidas,361,20,5.54
construcao_ferramentas_seguranca,183,10,5.46
malas_acessorios,1077,58,5.39
artigos_de_festas,42,2,4.76
moveis_cozinha_area_de_servico_jantar_e_jardim,274,12,4.38
agro_industria_e_comercio,206,9,4.37
telefonia_fixa,255,11,4.31
market_place,305,13,4.26
climatizacao,289,11,3.81
livros_importados,57,2,3.51
flores,33,1,3.03
fraldas_higiene,37,1,2.70
cds_dvds_musicais,14,0,0.00
la_cuisine,14,0,0.00
fashion_roupa_infanto_juvenil,7,0,0.00
pc_gamer,8,0,0.00
seguros_e_servicos,2,0,0.00
