customer_city,total_orders,delayed_orders,delay_percentage
lagoa,1,1,100.00
conde,2,2,100.00
"conceicao da ibitipoca",1,1,100.00
indiaroba,1,1,100.00
ipueira,1,1,100.00
"alto sao joao",1,1,100.00
"pio ix",1,1,100.00
"poco de pedra",1,1,100.00
"sao sebastiao de campos",1,1,100.00
"doce grande",1,1,100.00
"goncalves dias",1,1,100.00
macambira,1,1,100.00
igaci,2,2,100.00
jiquirica,1,1,100.00
joselandia,1,1,100.00
"vargem grande do rio pardo",1,1,100.00
pugmil,1,1,100.00
"monte gordo",1,1,100.00
"ilha dos valadares",1,1,100.00
"sao felix",1,1,100.00
