order_month,total_orders,delayed_orders,delay_percentage
2016-09,1,1,100.00
2016-10,270,3,1.11
2016-12,1,0,0.00
2017-01,750,23,3.07
2017-02,1653,53,3.21
2017-03,2546,142,5.58
2017-04,2303,181,7.86
2017-05,3545,128,3.61
2017-06,3135,121,3.86
2017-07,3872,133,3.43
2017-08,4193,139,3.32
2017-09,4150,216,5.20
2017-10,4478,237,5.29
2017-11,7288,1043,14.31
2017-12,5513,462,8.38
2018-01,7069,464,6.56
2018-02,6556,1049,16.00
2018-03,7003,1496,21.36
2018-04,6798,361,5.31
2018-05,6749,556,8.24
2018-06,6096,83,1.36
2018-07,6156,276,4.48
2018-08,6351,660,10.39
